symbol,datetime,security_id,bid_price,bid_order_qty,bid_executed_qty,ask_order_qty,ask_executed_qty
CS2503,2025-02-12 21:00:37.859000-11:00,205000008290,2562,1218,837,873,1182
CS2503,2025-02-12 21:00:38.088000-11:00,205000008290,2562,1218,838,873,1183
CS2503,2025-02-12 21:00:38.361000-11:00,205000008290,2562,1218,839,873,1184
CS2503,2025-02-12 21:00:39.088000-11:00,205000008290,2562,1220,841,875,1186
CS2503,2025-02-12 21:00:39.592000-11:00,205000008290,2562,1221,841,876,1186
CS2503,2025-02-12 21:00:39.857000-11:00,205000008290,2562,1222,841,877,1186
CS2503,2025-02-12 21:00:40.590000-11:00,205000008290,2562,1222,842,877,1187
CS2503,2025-02-12 21:00:40.836000-11:00,205000008290,2562,1222,843,877,1188
CS2503,2025-02-12 21:00:41.087000-11:00,205000008290,2562,1234,849,895,1188
CS2503,2025-02-12 21:00:41.359000-11:00,205000008290,2562,1239,849,900,1188
CS2503,2025-02-12 21:00:41.592000-11:00,205000008290,2562,1239,850,901,1188
CS2503,2025-02-12 21:00:42.093000-11:00,205000008290,2562,1240,850,902,1188
CS2503,2025-02-12 21:00:42.367000-11:00,205000008290,2562,1240,851,903,1188
CS2503,2025-02-12 21:00:42.595000-11:00,205000008290,2562,1248,852,912,1188
CS2503,2025-02-12 21:00:43.091000-11:00,205000008290,2562,1248,856,914,1190
CS2503,2025-02-12 21:00:43.590000-11:00,205000008290,2562,1294,917,1021,1190
CS2503,2025-02-12 21:00:43.854000-11:00,205000008290,2562,1299,917,1026,1190
CS2503,2025-02-12 21:00:44.091000-11:00,205000008290,2562,1307,923,1034,1196
CS2503,2025-02-12 21:00:44.357000-11:00,205000008290,2562,1308,933,1043,1198
CS2503,2025-02-12 21:00:44.591000-11:00,205000008290,2562,1319,935,1052,1202
CS2503,2025-02-12 21:00:44.860000-11:00,205000008290,2562,1335,939,1062,1212
CS2503,2025-02-12 21:00:45.592000-11:00,205000008290,2562,1335,940,1063,1212
CS2503,2025-02-12 21:00:45.858000-11:00,205000008290,2562,1336,940,1064,1212
CS2503,2025-02-12 21:00:46.091000-11:00,205000008290,2562,1355,942,1067,1230
CS2503,2025-02-12 21:00:46.855000-11:00,205000008290,2562,1355,943,1067,1231
CS2503,2025-02-12 21:00:47.089000-11:00,205000008290,2562,1369,943,1070,1242
CS2503,2025-02-12 21:00:47.595000-11:00,205000008290,2562,1369,945,1071,1243
CS2503,2025-02-12 21:00:47.861000-11:00,205000008290,2562,1370,947,1074,1243
CS2503,2025-02-12 21:00:48.087000-11:00,205000008290,2562,1370,949,1075,1244
CS2503,2025-02-12 21:00:48.359000-11:00,205000008290,2562,1371,949,1076,1244
CS2503,2025-02-12 21:00:48.595000-11:00,205000008290,2562,1388,949,1077,1260
CS2503,2025-02-12 21:00:48.861000-11:00,205000008290,2562,1390,949,1077,1262
CS2503,2025-02-12 21:00:49.095000-11:00,205000008290,2562,1392,954,1078,1268
CS2503,2025-02-12 21:00:49.859000-11:00,205000008290,2562,1393,955,1079,1269
CS2503,2025-02-12 21:00:50.092000-11:00,205000008290,2562,1395,955,1079,1271
CS2503,2025-02-12 21:00:50.609000-11:00,205000008290,2562,1395,956,1079,1272
CS2503,2025-02-12 21:00:51.094000-11:00,205000008290,2562,1399,956,1083,1272
CS2503,2025-02-12 21:00:51.605000-11:00,205000008290,2562,1400,957,1084,1273
CS2503,2025-02-12 21:00:51.862000-11:00,205000008290,2562,1414,957,1095,1276
CS2503,2025-02-12 21:00:52.095000-11:00,205000008290,2562,1419,957,1096,1280
CS2503,2025-02-12 21:00:52.602000-11:00,205000008290,2562,1420,958,1096,1282
CS2503,2025-02-12 21:00:52.866000-11:00,205000008290,2562,1421,958,1096,1283
CS2503,2025-02-12 21:00:53.095000-11:00,205000008290,2562,1428,958,1100,1286
CS2503,2025-02-12 21:00:53.360000-11:00,205000008290,2562,1448,960,1114,1294
CS2503,2025-02-12 21:00:53.604000-11:00,205000008290,2562,1448,964,1116,1296
CS2503,2025-02-12 21:00:53.865000-11:00,205000008290,2562,1448,966,1117,1297
CS2503,2025-02-12 21:00:54.087000-11:00,205000008290,2562,1449,967,1118,1298
CS2503,2025-02-12 21:00:54.602000-11:00,205000008290,2562,1449,970,1118,1301
CS2503,2025-02-12 21:00:55.092000-11:00,205000008290,2562,1464,970,1123,1311
CS2503,2025-02-12 21:00:55.597000-11:00,205000008290,2562,1465,970,1123,1312
CS2503,2025-02-12 21:00:56.089000-11:00,205000008290,2562,1466,970,1123,1313
CS2503,2025-02-12 21:00:56.356000-11:00,205000008290,2562,1468,970,1124,1314
